Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Jayden Reed,GNB,23,WR,4,3,1,-2,0,0,0.0,-2,-2.0,-0.5,1
Rashee Rice,KAN,23,WR,4,0,1,-3,0,0,0.0,-3,-3.0,-0.8,0
Ben Skowronek,LAR,26,WR,4,0,1,11,0,1,100.0,11,11.0,2.8,0
Amon-Ra St. Brown,DET,24,WR,4,4,1,4,0,0,0.0,4,4.0,1.0,1
Tyrod Taylor,NYG,34,QB,2,0,1,2,0,0,0.0,2,2.0,1.0,0
Adam Thielen,CAR,33,WR,4,4,1,6,0,0,100.0,6,6.0,1.5,0
Logan Thomas,WAS,32,TE,3,3,1,2,0,1,100.0,2,2.0,0.7,0
Tre Tucker,LVR,22,WR,3,0,1,34,0,1,100.0,34,34.0,11.3,0
Jaylen Waddle,MIA,25,WR,3,3,1,-2,0,0,0.0,-2,-2.0,-0.7,0
Mike White,MIA,28,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,0
Mike Williams,LAC,29,WR,3,3,1,3,0,0,0.0,3,3.0,1.0,0
